################################################################
# abuse.ch Feodo Tracker Botnet C2 IP Blocklist (CSV)          #
# Last updated: 2024-04-04 07:03:03 UTC                        #
#                                                              #
# Terms Of Use: https://feodotracker.abuse.ch/blocklist/       #
# For questions please contact feodotracker [at] abuse.ch      #
################################################################
#
"first_seen_utc","dst_ip","dst_port","c2_status","last_online","malware"
"2023-05-23 17:51:44","192.9.135.73","1194","online","2024-04-01","Pikabot"
"2024-02-08 19:20:49","85.239.243.155","5000","offline","2024-03-11","Pikabot"
"2024-02-08 19:50:53","37.60.242.85","9785","offline","2024-03-04","Pikabot"
"2024-02-09 06:56:00","178.18.246.136","2078","offline","2024-03-11","Pikabot"
"2024-02-09 16:29:51","23.226.138.143","2083","offline","2024-03-09","Pikabot"
"2024-02-09 16:29:53","23.226.138.161","5242","offline","2024-03-09","Pikabot"
"2024-02-12 13:50:35","86.38.225.106","2221","offline","2024-03-09","Pikabot"
"2024-02-13 22:11:18","104.129.55.106","13783","offline","2024-03-09","Pikabot"
"2024-02-13 22:11:26","103.82.243.5","13785","offline","2024-03-27","Pikabot"
"2024-02-13 22:11:28","104.129.55.105","2223","offline","2024-03-09","Pikabot"
"2024-02-19 16:12:15","154.12.248.41","5000","offline","2024-03-11","Pikabot"
"2024-02-19 16:12:18","89.117.23.186","5632","offline","2024-03-11","Pikabot"
"2024-02-19 16:12:23","154.12.233.66","2224","offline","2024-03-11","Pikabot"
"2024-03-05 19:51:19","84.46.240.42","2083","offline","2024-03-06","Pikabot"
"2024-03-06 07:52:18","209.126.86.48","1194","offline","2024-03-11","Pikabot"
"2024-03-06 16:32:33","154.12.236.248","13786","offline","2024-03-11","Pikabot"
"2024-03-06 16:33:55","94.72.104.77","13724","offline","2024-03-17","Pikabot"
"2024-03-06 16:33:59","154.53.55.165","13783","offline","2024-03-11","Pikabot"
"2024-03-06 16:34:43","94.72.104.80","5000","offline","2024-03-17","Pikabot"
"2024-03-06 16:34:45","198.38.94.213","2224","offline","2024-03-08","Pikabot"
"2024-03-26 23:30:03","158.220.95.214","5243","offline","2024-04-02","Pikabot"
"2024-03-26 23:30:06","64.23.199.206","1194","offline","2024-03-27","Pikabot"
"2024-03-26 23:30:07","172.232.208.90","2223","offline","2024-03-29","Pikabot"
"2024-03-26 23:30:07","213.199.41.33","13721","online","2024-04-04","Pikabot"
"2024-03-26 23:30:11","194.233.91.144","5000","online","2024-04-04","Pikabot"
"2024-03-26 23:30:12","158.220.95.215","5242","offline","2024-03-27","Pikabot"
"2024-03-26 23:30:15","84.247.157.112","13783","online","2024-04-04","Pikabot"
"2024-04-04 07:03:03","172.233.221.61","5938","offline","2024-04-04","Pikabot"
# END 28 entries
